epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,247.138,0.5943,0.42317,0.89377,0.79796,0.64227,0.73599,0.49914,1.08915,0.77686,1.21191,0.000495452,0.000495452,0.000495452
112,249.217,0.53626,0.38072,0.90041,0.8228,0.62879,0.72391,0.49128,1.07575,0.83083,1.21984,0.000494901,0.000494901,0.000494901
113,251.295,0.6021,0.42719,0.89593,0.81772,0.65518,0.71743,0.47049,1.10357,0.93867,1.23622,0.000494351,0.000494351,0.000494351
114,253.385,0.5747,0.41385,0.88006,0.69313,0.69107,0.73004,0.47466,1.20513,1.1093,1.25155,0.0004938,0.0004938,0.0004938
115,255.628,0.57578,0.4354,0.90668,0.75184,0.67351,0.73049,0.48276,1.32058,0.95563,1.32999,0.00049325,0.00049325,0.00049325
116,257.698,0.68109,0.49694,0.93697,0.71716,0.65602,0.72055,0.4956,1.21103,0.95891,1.32189,0.000492699,0.000492699,0.000492699
117,259.75,0.61442,0.45488,0.89728,0.71221,0.69708,0.72732,0.48329,1.25417,0.97632,1.31581,0.000492149,0.000492149,0.000492149
118,261.806,0.5778,0.40081,0.9035,0.72794,0.64121,0.71789,0.47602,1.25384,1.18839,1.24446,0.000491599,0.000491599,0.000491599
119,263.895,0.58193,0.41775,0.90316,0.78282,0.58342,0.66193,0.45613,1.22123,1.23694,1.22772,0.000491048,0.000491048,0.000491048
120,265.955,0.63731,0.45171,0.90426,0.76099,0.60577,0.66787,0.4388,1.22899,1.07424,1.21774,0.000490498,0.000490498,0.000490498
121,268.018,0.54889,0.43132,0.89584,0.69732,0.64474,0.68256,0.4597,1.26917,0.97364,1.22706,0.000489947,0.000489947,0.000489947
122,270.266,0.54758,0.39695,0.87229,0.75627,0.68659,0.71601,0.51907,1.13303,0.79893,1.1908,0.000489397,0.000489397,0.000489397
123,273.044,0.56982,0.42191,0.87234,0.89344,0.67711,0.76227,0.54079,1.13108,0.76491,1.18108,0.000488846,0.000488846,0.000488846
124,275.829,0.5751,0.4038,0.86286,0.87571,0.68077,0.77254,0.55722,1.08118,0.73243,1.16892,0.000488296,0.000488296,0.000488296
125,278.59,0.59951,0.41838,0.88679,0.80091,0.68098,0.74733,0.53242,1.04818,0.70817,1.16458,0.000487745,0.000487745,0.000487745
126,280.627,0.53223,0.40602,0.8695,0.83302,0.68244,0.75647,0.53542,1.07965,0.69268,1.17386,0.000487195,0.000487195,0.000487195
127,282.697,0.55334,0.39877,0.8854,0.82401,0.66079,0.75473,0.5387,1.05523,0.67378,1.16091,0.000486645,0.000486645,0.000486645
